PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtrn
18163,2020-07-21,PG,PROCTER & GAMBLE CO,124.92000,126.64000,125.07000,5163047,-0.001357,125.05000,125.12000,125.49000,0.002298,0.002285,0.012603,0.012589,0.001679
18163,2020-07-22,PG,PROCTER & GAMBLE CO,124.21000,126.40000,126.14000,5929208,0.008555,126.10000,126.14000,125.50000,0.005138,0.005121,0.001624,0.001608,0.005747
18163,2020-07-23,PG,PROCTER & GAMBLE CO,125.60000,127.18000,126.16000,6664788,0.006427,126.12000,126.16000,126.12000,-0.010909,-0.010967,-0.004228,-0.004309,-0.012320
18163,2020-07-24,PG,PROCTER & GAMBLE CO,125.31500,127.77000,125.96000,6014523,-0.001585,125.92000,125.97000,126.99000,-0.006986,-0.007031,-0.007645,-0.007669,-0.006190
18163,2020-07-27,PG,PROCTER & GAMBLE CO,125.54000,126.64000,126.32000,6464784,0.002858,126.34000,126.35000,125.71000,0.009010,0.009006,0.006945,0.006942,0.007395
18163,2020-07-28,PG,PROCTER & GAMBLE CO,126.29000,128.46001,127.88000,7644674,0.012350,127.88000,127.91000,126.37000,-0.006926,-0.006935,-0.004818,-0.004829,-0.006473
18163,2020-07-29,PG,PROCTER & GAMBLE CO,127.36000,129.24001,128.31000,6702034,0.003363,128.45000,128.49001,127.56000,0.013428,0.013422,0.013156,0.013127,0.012428
18163,2020-07-30,PG,PROCTER & GAMBLE CO,129.64999,132.03000,131.42000,10400727,0.024238,131.39999,131.42999,130.66000,-0.003768,-0.003929,-0.002326,-0.002425,-0.003750
18163,2020-07-31,PG,PROCTER & GAMBLE CO,129.27000,131.21001,131.12000,8487840,-0.002283,131.06000,131.12000,130.00700,0.004524,0.004438,-0.007106,-0.007177,0.007670
18163,2020-08-03,PG,PROCTER & GAMBLE CO,130.47000,131.92000,131.28999,7770344,0.001297,131.28999,131.30000,130.47000,0.008692,0.008612,0.013695,0.013587,0.007181
18163,2020-08-04,PG,PROCTER & GAMBLE CO,130.70000,133.92999,133.78999,7737154,0.019042,133.78999,133.80000,130.77000,0.004528,0.004524,0.008749,0.008733,0.003612
18163,2020-08-05,PG,PROCTER & GAMBLE CO,133.12000,134.64999,133.44000,5680385,-0.002616,133.44000,133.46001,133.59000,0.007526,0.007520,0.012041,0.011982,0.006430
18163,2020-08-06,PG,PROCTER & GAMBLE CO,132.12000,133.37000,132.71001,3974322,-0.005471,132.71001,132.74001,132.85001,0.004654,0.004495,-0.000438,-0.000548,0.006428
18163,2020-08-07,PG,PROCTER & GAMBLE CO,132.45000,133.64000,133.55000,4934948,0.006330,133.59000,133.60001,132.89000,0.000244,0.000084,0.006408,0.006307,0.000633
18163,2020-08-10,PG,PROCTER & GAMBLE CO,133.18500,134.43990,134.10001,5812760,0.004118,134.10001,134.12000,133.70000,0.002652,0.002638,0.010567,0.010548,0.002742
18163,2020-08-11,PG,PROCTER & GAMBLE CO,132.79500,134.73990,133.23000,5330012,-0.006488,133.23000,133.24001,134.27000,-0.007931,-0.007947,-0.005603,-0.005627,-0.007969
