PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtn
21936,2022/8/17,PFE,PFIZER INC,49.25,49.86,49.27,13607173,-0.011833,49.27,49.28,49.65,-0.00919,-0.009323,-0.012785,-0.012821,-0.007238
21936,2022/8/18,PFE,PFIZER INC,48.38,49.5198,48.58,18916324,-0.014004,48.59,48.6,49.39,0.002709,0.002565,0.00217,0.00211,0.00227
21936,2022/8/19,PFE,PFIZER INC,48.73,49.445,49.15,15350198,0.011733,49.15,49.16,48.84,-0.01464,-0.01467,-0.01799,-0.018043,-0.0129
21936,2022/8/22,PFE,PFIZER INC,48.735,49.395,48.9,13601214,-0.005086,48.91,48.92,49.21,-0.020291,-0.0204,-0.016149,-0.016205,-0.0214
21936,2022/8/23,PFE,PFIZER INC,47.76,48.52,48.01,16248857,-0.0182,48.01,48.02,48.42,-0.000707,-0.000731,0.002982,0.002888,-0.002238
21936,2022/8/24,PFE,PFIZER INC,47.38,48.01,47.43,15551472,-0.012081,47.47,47.48,47.9,0.003947,0.003926,0.00736,0.007332,0.002916
21936,2022/8/25,PFE,PFIZER INC,47.27,47.95,47.9,14460001,0.009909,47.93,47.94,47.52,0.014208,0.014181,0.01061,0.010566,0.014092
21936,2022/8/26,PFE,PFIZER INC,46.701,47.96,46.82,16546733,-0.022547,46.83,46.84,47.62,-0.031867,-0.031897,-0.023938,-0.023968,-0.033688
21936,2022/8/29,PFE,PFIZER INC,46.12,46.69,46.23,13400450,-0.012601,46.25,46.26,46.375,-0.006512,-0.006546,-0.005659,-0.005681,-0.006666
21936,2022/8/30,PFE,PFIZER INC,45.795,46.35,45.85,16303015,-0.00822,45.84,45.85,46.34,-0.011447,-0.011539,-0.012022,-0.01219,-0.011028
21936,2022/8/31,PFE,PFIZER INC,45.13,46.285,45.23,26416771,-0.013522,45.21,45.22,46.01,-0.007189,-0.007349,-0.002479,-0.002562,-0.007817
21936,2022/9/1,PFE,PFIZER INC,45.14,46.65,46.63,19947618,0.030953,46.62,46.63,45.14,-0.001093,-0.001297,-0.009851,-0.010028,0.002996
21936,2022/9/2,PFE,PFIZER INC,45.53,46.8,45.7,14667687,-0.019944,45.7,45.71,46.74,-0.008552,-0.008609,-0.004037,-0.004057,-0.010736
21936,2022/9/6,PFE,PFIZER INC,45.53,46.44,45.76,17153474,0.001313,45.79,45.8,45.96,-0.004937,-0.00498,-0.00864,-0.008672,-0.004095
21936,2022/9/7,PFE,PFIZER INC,45.38,46.21,46.13,15378914,0.008086,46.14,46.15,45.7,0.018279,0.018248,0.014478,0.014461,0.018341
21936,2022/9/8,PFE,PFIZER INC,45.87,47.12,47.08,18271038,0.020594,47.07,47.08,46.02,0.007387,0.007287,0.006252,0.00617,0.006611
21936,2022/9/9,PFE,PFIZER INC,47.1,47.99,47.84,17509282,0.016143,47.84,47.85,47.2,0.016682,0.016615,0.015483,0.015397,0.015271
